QUESTION,DIFFICULTY,CORRECT ANSWER
What type of blood vessels carries deoxygenated blood?,MEDIUM,Vena cava
What part of the heart receives blood from the body cells?,MEDIUM,Right atrium
Which part of the cell the gene is located?,MEDIUM,Chromosomes
"When the population of a species begins declining rapidly, the species is said to be a/an _______species.",MEDIUM,Extinct
Stars can be found in large groups throughout the universe. What are these groups called?,MEDIUM,Constellations
It refers to the atmospheric condition of a place over a long period of time.,MEDIUM,Climate
What device records the distance traveled by a vehicle?,MEDIUM,Odometer
Which mirror is used for side view in vehicles?,MEDIUM,Convex
The oxidation of food substances to release energy is,MEDIUM,Respiration
The process by which air is actively taken in and out of the body is called,MEDIUM,Breathing
The _______ contains some cellular structures called organelles.,MEDIUM,Cytoplasm
The process of passing out undigested food through the anus is,MEDIUM,Egestion
Any change in external and internal environment of a living organism is,MEDIUM,Stimulus
The urine is stored in the ______.,MEDIUM,Urinary bladder
Urine is excreted by the ,MEDIUM,Kidney
